TSid,dataSetName,variableName,spreadsheetKey,worksheetKey
LPDff08d4dc,Arc-Lomonosovfon.Divine.2013,year,1LO7scBYb130eytpq9FYGIsVhsmHnpD83g3_v0KV5Xik,o7vdl1c
LPD906ea694,Arc-Loso2006,year,1npUTtHLaYGv5RfVqP7e5XocqOfeXnHmjYKGzOydtGBQ,o81h8b
LPD7fd4a6f1,Arc-Luoto2009,year,1cr2yf8nu3xZjccILuiB1KB6SJu_hvTSPD5PmRt-Pe3w,ouqevm0
LPD4c17cb27,Arc-MD992275.Jiang.2005,year,1hHxYZszodqwSaTzTq2zwhJAsASao6OGZvB7miXLZL70,oe7mrzl
LPD5872e927,Arc-MackenzieDelta.Porter.2013,year,1xpsdDWJwQE7yXfSCn240Ec_-_1NwkJ1EmHsPUzEYyTc,oi8t0d4
LPDeca74745,Arc-MackenzieDelta.Porter.2013,year,1xpsdDWJwQE7yXfSCn240Ec_-_1NwkJ1EmHsPUzEYyTc,osaxy2f
LPDeece389e,Arc-MackenzieDelta.Porter.2013,year,1xpsdDWJwQE7yXfSCn240Ec_-_1NwkJ1EmHsPUzEYyTc,ovdgxbe
LPDa6bc91e0,Arc-MackenzieDelta.Porter.2013,year,1xpsdDWJwQE7yXfSCn240Ec_-_1NwkJ1EmHsPUzEYyTc,oh6jd2r
LPD826c4eb6,Arc-Malangenfjor.Hald.2011,year,1ZPlYhKVwZlHEccVylHV2A7ylXs4uuit6aQ3P0yb1hgM,o2xkezk
LPD44c0a9bf,Arc-Massa2012,year,1QHlD9-Z1khSNe6k52c6ovQL6CvFdzlpdv1rsILGfoy4,o6imwsn
LPD64dc7173,Arc-NGRIP1.Vinther.2006,year,1alzwF6OfG1GsJxyTn4VOwFeiyyVfm59E3p14sdOWzeM,o4tvb2q
LPD765b8c3a,Arc-NGTB16.Fischer.1998,year,1AG2vf4moGoMot-zXGoOL1hRLgfdaFbaoR84WCBy1rro,o516f7j
LPD0caf1e89,Arc-NGTB18.Fischer.1998,year,18C5YmkoFqBlEsLlxoOYV-IJBsDAhbNBAgfx7P-WNcQk,o6yyc8s
LPD51d269f8,Arc-NGTB21.Fischer.1998,year,1_EmAjEVc5V4Rhe2sh7xs4N7OOs6jhkgGx2YBXWvVk7w,o9dgq23
LPDf36a1b7c,Arc-Ojala2005,year,1MT2FRjt5ybcc_uV_VOdlhwUbzRryAHvM18YR0DnMYqg,osbrxx1
LPD65fb71b9,Arc-PennyIceCapP.Fisher.1998,year,1cbhTzE90g24i-SiOcAFIPPVXip2GusGvq4nsYHvqU8s,obu6j7
LPD12f8002e,Arc-PennyIceCapP.Okuyama.2003,year,1hNtjXxqFrKjbUJDnT7VDe8rl4Lis2YGRi_7IY479oQ8,ob2fpas
LPD7781e449,Arc-Renland.Vinther.2008,year,1wyQTnyzT5umYd1cS6e3njt0CEnRw2W21QqMvlcLBcoY,o6pstrd
LPD86ae9437,Arc-ScreamingLynx.Clegg.2011,year,1v9LdwyJLba4t8bNcdxoJP-y0eEwAj4B65nU6YffLLJ8,oci6v2i
LPD0d9380d7,Arc-SoperLakeBaf.Hughen.2000,year,1Y_gGfcMUWjkFFqTYNcc6nfbVhAYn08ctAfgjmQzd6r8,o135r7y
LPD77a6170b,Arc-StoreggaSlid.Sejrup.2011,year,11Gi6f8pfPMrbG-rBbtilsyRqjOubU3H6gFWbDfmVQbY,ot7d64v
LPD0fbe844b,Arc-Thomas2008,year,1jYzqPxX4EH9YJeksjXnZ4K-ysMrneyufWTuAhG7ox2s,ouuj0p2
LPDf6b197b4,Arc-Tiljander2003,year,1mLmCvVSY-bHpu1PjQ5-ipsvwc3D9indJ80jMbW6TcQw,ovd5n8u
LPD17927ad5,Arc-Tjeggelvas.Bjorkelund.2013,year,1u0STsw04E7Wcq2CtIoEdjbgKWyOFOqmoauimKhCr4Gk,o6mui0l
LPD6ea4b440,Arc-Tornetrask.Melvin.2013,year,1_0jTEX6Km-EpD4oUavHE8p3snBc2NMySDdQG11oneTE,oek9pgb
LPD67544ed6,Arc-Tornio.Loader.2011,year,1DJyoblMVmd3to0bYgS0_Tg0wxMUZR2nzeCxpHBijJV8,oe383z1
LPD8784f3d0,Arc-VoringPlateau.Berner.2011,year,1bA-ex0uom5wFZmo77mb91phehUU6WNe_HK6zaZenPCo,oabcg4s
LPD5b92f747,Arc-WindyDome.2010.Kinnard,year,1GNsI8CF6futHvUDVnJxpqhvf5LIWRa0u4NifqWT-FHU,ow1nqph
LPDee8750b2,Arc-Yamalia.Briffa.2013,year,1MUygFS17pgPGEoUuCC1kUzNMJVb34341vloaje-VgKQ,ol6t42e
LPD66e0d448,Asia-10GKP,year,14E7cXmIZ1jua6cP38Xv2QG_U60im6dq3kEVdaoifUp8,oc3yy4v
LPDb33f95fe,Asia-11YCT,year,1hrJ4nVsxFu_lRq3VPJVT9p4Pbb9PCIIpOB5ZZlAiL3M,oqsvyy5
LPD30bd2099,Asia-12YMA,year,1xS9H5Y9VieD2wHFIWxlKNO-pDowXn7l5RCQ2X8ke8rc,o9her5e
LPD80afd164,Asia-13YET,year,14w4WE5Ohrs7l0uwxQz1abIwKdjaM2FJgV1AdcxefcX0,o3ibz9y
LPD795ccc50,Asia-22DLT,year,1r80uqbJG_0TzBfdQkcXO6SGBE-fI-4UXvXCGL9GJXDU,odfu5jx
LPDbf21e8dc,Asia-AGHERI,year,1rf2SMS1DC5tsj4b0u3hqYGN95IfmouptzCTolCP7Efo,ohyl3pg
LPD3409c80f,Asia-AJTMJT,year,1QbkpoUpH7DmB3q1TO4inyZB5x9n8mQUcXs4JDU5Y-I4,obfdw8l
LPD85297b26,Asia-ANKHLS,year,1Nd8gY5zCCMb989Pac3IsRNmHhocBhWVe0eSIceL6sEE,os5bv4n
LPD2d540c87,Asia-ASTABP,year,10ffEBLB14pKoyxjpBI52FKmDcApauEwFORB8Ds1tTHE,ofblgs3
LPDdba37f9c,Asia-ASTPIW,year,1pa5-BrN7p5GNAkieaBWMsFmPvp4zriaG-RfXEWPw1eQ,oolqgzd
LPDfe30708f,Asia-Aktru2.Panyushkina.2005,year,1GekIbLo081MBsIQ_A-F5RVpCmsy0SPQ-hNIeVEIVjC4,ov7shdb
LPD467dd76e,Asia-BAG1JU,year,1bxWrEPs9JDNEbiwTU3nGj8ZKPEWoKwjs_9RYyZjhokg,oj1k5s8
LPDbbf8c7d6,Asia-BAG2JU,year,1ADvw09ATR9Gh9uzArfvGA2DuqZvOS92LPpX0UilHS8U,oq1vfmo
LPDbf873516,Asia-BAG4JU,year,1Ri-sk2g_Vy5ynrLEygdIrPbMN2AMem0WLkNDKfzsYfg,op9ahdr
LPD55c78c29,Asia-BAG5JU,year,1IELy9wNn9TJgWpj2laot56eBaiQvFe_kj9xNIrzv3m4,ommry5i
LPD557d3ae3,Asia-BARELC,year,1ef1Hqi2FwPTSp7V98GpBHRx4CRht2CzV_4NdErujdp4,ott3kdz
LPD58e84777,Asia-BAWSIC,year,1-_JjSU7syD2jLLEFFeHqytZoJtN-T6bOqge1xb2TAVc,oxdqq41
LPD0a861633,Asia-BAYHLS,year,1sIOYPn2f_rTwAO_KyBC-UJHy_xDYV37eZ2dRzwFSI1U,oh8c6rl
LPDc606c2e5,Asia-BDFLON,year,1aWle6ywBfavlMa1mndSlhITVyfssUKZW4VesEGJalKE,onjuqax
LPD53c1f24a,Asia-BHULJR,year,1rAdHRbwfulC3c5_q3TAokNuL9zHdzIBq5VUop7OOAqA,oajcweu
LPD28bebb64,Asia-BHUTSP,year,1nPYyj_FjJLG9X1gLJ7esKoZs8L4cUES2O4J8nZD_bzw,okgee1o
LPD83dacc75,Asia-BHUTTD,year,1C67cQiT4tVz2yvYoDFLhS89wdOtTr77Fxkdpl0vaOrw,ogrvpjn
LPDafcdb9b8,Asia-BIARLS,year,1v5UOYtBeYL3-qeNclG2dWsEUX75LWH1HEdamn4tQ59I,ohbr2id
LPDd1f1761b,Asia-BIGELS,year,1jkrd8tO4LdGOF2UOQq_bcnTxRLf15hoVOko0EwAEL9k,oragb2p
LPD9c7c7fd8,Asia-BLKALS,year,15G6LxHXcftUPhT01r8FKJoDhQZgOKi-JHewDZPeNYV4,onpc56e
LPDc8d5f41b,Asia-BONKJT,year,1R62mqMfbLpu3c6STSYdlaNpk9Ei8NzsBPFKjiWK4jVU,oxhz9n0
LPD7a79d6b2,Asia-BUKCDD,year,1RQ1ZqWT_nGkg9bXkfKnMGQeXSaBISHCxmk_LJsuCEes,o2ho1bk
LPD9e905191,Asia-BUKPIG,year,19o9OtkLBpJVZ9miSrUu_LpMz1IamCQ19zYy_vF8VKYQ,or5t6rq
LPDa858bc55,Asia-BULGLS,year,1yBuxAWWbOFY_BIXFCtZljm3a9bTl7B0Jr0OpLUBGuBw,ofmmpcy
LPD5adbdd2d,Asia-BURGPW,year,1un51lAYKfCrJ3eRIGrnfdpEw0uqquSe5-z51q-2gI0w,o7rhit9
LPDfcd1959d,Asia-CAMGSP,year,13rrYWi9M9nyJKP71yTmeIbgCrpnlIjGIJJg4NTIE7hs,o4p5ei8
LPD6c289b54,Asia-CENTIB,year,1x7dnqqEWf-iafEnLPLjTz-XNsrv2QpsKR1LkwRyibsk,o9x8ilh
LPDe9193cd5,Asia-CGPCDD,year,1AWaiolEEwSlTYgYqqbH6qZWMVshZgTd0UQ7j2uPONpQ,ownob65
LPD2c543176,Asia-CGPPIG,year,1J55uu82e_5D0gasjshBUXcI2bAkmxxwV6RJdQATv7OI,o8kkmm7
LPDb861376e,Asia-CHDAND,year,1AGaBcHDA34NGDRLqkck6n-IT_0BX0631nmoLOORIP5A,oe6qzlo
LPD07727d32,Asia-CHEPCS,year,1wCX9HEi2Kcw58DzCOAcjgNk-ymvGciglY6xfBNYvuMk,o4d0h2f
LPD1a04fb4a,Asia-CHOLPB,year,1pGl_DX_eKsKadIuqdYGCRxmthqV87M8pseiFq4Jpa1I,ompxyn9
LPD29de58aa,Asia-CHP2JU,year,1MQIoPqP4RRmFNYAOwE0VmAGBj7k1BU1eq45YZF4ZWoU,ojdyvus
LPD7641726e,Asia-CHP3JU,year,1T_zmUXl0KzR_zAwJyXlQT_jiLXJ4UXdBdyH6niwHDKY,oae1zq4
LPD8e1f15c9,Asia-CILAUP,year,1faU3DlWw6G64uUYMrT-fcsKHcPXoOeHmj0LCUQ0t5NE,oqct5x9
LPD7525251d,Asia-CentralChina.Wang.1998,year,17JlExCxieWJFNteL02G9Z7sv2MjUz1DJhEi_tKttaT4,oox35cu
LPDf3b09a00,Asia-Chu.2012.Sihailongwanlake,year,1IdyejBBvZwmYT6X83pvj6em5Wy7QJIyTA-xpu-4DVas,o72uls1
