7.0,NA,NA,1396.0,NA,NA,9.0,
10.0,NA,NA,1342.0,NA,NA,6.9,
11.0,NA,NA,1324.0,NA,NA,8.2,
17.0,NA,NA,1216.0,NA,NA,8.1,
19.0,NA,NA,1181.0,NA,NA,6.6,
31.0,NA,NA,965.0,NA,NA,6.6,
33.0,NA,NA,907.0,NA,NA,8.2,
37.0,NA,NA,791.0,NA,NA,7.7,
39.0,NA,NA,733.0,NA,NA,8.2,
47.0,NA,NA,500.0,NA,NA,10.7,
49.0,NA,NA,442.0,NA,NA,9.0,
51.0,NA,NA,384.0,NA,NA,10.7,
53.0,NA,NA,326.0,NA,NA,6.0,
57.0,NA,NA,210.0,NA,NA,7.5,
59.0,NA,NA,152.0,NA,NA,7.7,
67.0,NA,NA,-249.0,NA,NA,7.6,
69.0,NA,NA,-350.0,NA,NA,8.1,
71.0,NA,NA,-450.0,NA,NA,8.2,
73.0,NA,NA,-550.0,NA,NA,8.2,
77.0,NA,NA,-751.0,NA,NA,8.6,
79.0,NA,NA,-851.0,NA,NA,9.9,
87.0,NA,NA,-1253.0,NA,NA,9.3,
89.0,NA,NA,-1353.0,NA,NA,7.3,
91.0,NA,NA,-1453.0,NA,NA,9.2,
93.0,NA,NA,-1554.0,NA,NA,7.0,
97.0,NA,NA,-1720.0,NA,NA,6.6,
99.0,NA,NA,-1785.0,NA,NA,8.5,
103.0,NA,NA,-1917.0,NA,NA,8.8,
107.0,NA,NA,-2048.0,NA,NA,8.8,
109.0,NA,NA,-2114.0,NA,NA,10.7,
111.0,NA,NA,-2180.0,NA,NA,10.0,
113.0,NA,NA,-2245.0,NA,NA,8.1,
115.0,NA,NA,-2311.0,NA,NA,10.6,
119.0,NA,NA,-2443.0,NA,NA,8.9,
123.0,NA,NA,-2574.0,NA,NA,9.3,
127.0,NA,NA,-2729.0,NA,NA,8.4,
129.0,NA,NA,-2807.0,NA,NA,8.8,
131.0,NA,NA,-2884.0,NA,NA,8.7,
133.0,NA,NA,-2962.0,NA,NA,9.6,
137.0,NA,NA,-3117.0,NA,NA,9.2,
139.0,NA,NA,-3194.0,NA,NA,8.7,
145.0,NA,NA,-3427.0,NA,NA,9.6,
147.0,NA,NA,-3505.0,NA,NA,7.4,
149.0,NA,NA,-3582.0,NA,NA,8.4,
151.0,NA,NA,-3660.0,NA,NA,9.2,
153.0,NA,NA,-3737.0,NA,NA,7.4,
155.0,NA,NA,-3815.0,NA,NA,9.0,
157.0,NA,NA,-3892.0,NA,NA,8.2,
159.0,NA,NA,-3970.0,NA,NA,8.2,
163.0,NA,NA,-4125.0,NA,NA,9.1,
165.0,NA,NA,-4205.0,NA,NA,8.8,
167.0,NA,NA,-4284.0,NA,NA,9.2,
169.0,NA,NA,-4364.0,NA,NA,8.5,
173.0,NA,NA,-4523.0,NA,NA,8.0,
175.0,NA,NA,-4603.0,NA,NA,8.1,
177.0,NA,NA,-4683.0,NA,NA,8.5,
179.0,NA,NA,-4763.0,NA,NA,7.9,
183.0,NA,NA,-4922.0,NA,NA,8.4,
185.0,NA,NA,-5002.0,NA,NA,8.7,
187.0,NA,NA,-5081.0,NA,NA,7.5,
189.0,NA,NA,-5161.0,NA,NA,7.2,
193.0,NA,NA,-5320.0,NA,NA,8.0,
195.0,NA,NA,-5400.0,NA,NA,7.2,
199.0,NA,NA,-5501.0,NA,NA,6.6,
203.0,NA,NA,-5603.0,NA,NA,8.8,
207.0,NA,NA,-5704.0,NA,NA,8.6,
211.0,NA,NA,-5806.0,NA,NA,8.1,
213.0,NA,NA,-5856.0,NA,NA,8.1,
215.0,NA,NA,-5907.0,NA,NA,7.5,
217.0,NA,NA,-5988.0,NA,NA,7.5,
219.0,NA,NA,-6068.0,NA,NA,6.7,
223.0,NA,NA,-6229.0,NA,NA,6.0,
225.0,NA,NA,-6310.0,NA,NA,5.6,
227.0,NA,NA,-6390.0,NA,NA,6.6,
229.0,NA,NA,-6471.0,NA,NA,7.9,
231.0,NA,NA,-6552.0,NA,NA,7.5,
233.0,NA,NA,-6632.0,NA,NA,7.4,
235.0,NA,NA,-6713.0,NA,NA,7.6,
237.0,NA,NA,-6793.0,NA,NA,6.8,
239.0,NA,NA,-6874.0,NA,NA,7.7,
243.0,NA,NA,-7035.0,NA,NA,8.2,
245.0,NA,NA,-7116.0,NA,NA,7.6,
247.0,NA,NA,-7196.0,NA,NA,6.8,
249.0,NA,NA,-7277.0,NA,NA,6.0,
251.0,NA,NA,-7357.0,NA,NA,5.9,
253.0,NA,NA,-7438.0,NA,NA,6.3,
255.0,NA,NA,-7518.0,NA,NA,7.3,
257.0,NA,NA,-7597.0,NA,NA,5.9,
259.0,NA,NA,-7677.0,NA,NA,6.6,
263.0,NA,NA,-7836.0,NA,NA,8.0,
267.0,NA,NA,-7995.0,NA,NA,6.1,
269.0,NA,NA,-8075.0,NA,NA,7.3,
273.0,NA,NA,-8234.0,NA,NA,7.0,
277.0,NA,NA,-8393.0,NA,NA,7.0,
279.0,NA,NA,-8473.0,NA,NA,7.4,
