surface,Surface Age,0,0,,,1,-56,\n
14C,29497,10,11,TPF,190,15,175,140\n
14C,29498,10,11,"APF,TPF",120,15,110,130\n
14C,29499,81.5,82,TPF,810,20,715,40\n
14C,33138,135,137,<120 _m,1465,25,1350,40\n
14C,29500,177,178,TPF,1975,15,1920,50\n
14C,31584,177,178,<120 _m,1990,20,1940,50\n
14C,29501,236,236.5,WS,2480,15,2585,120\n
14C,33139,299,301,<120 _m,3395,25,3645,60\n
14C,33140,329,331,<120 _m,3485,45,3760,110\n
14C,31585,363,365,<120 _m,4360,30,4920,90\n
14C,33141,435,440,WS,6875,15,7695,40\n
